Conc_Nr;Composer;WorkNr;Modern Ed;Concordances;Comment
Conc_1;;;;D-B40068 / 63r (in triple measure) - D-LEm6-24 / 1v (var) - D-KA1214 / 33 (e moll) - F-Pn6213 / 1 (2) - F-AIXm17 / 97r;cf. (1. H. similar) Conc_4120 & Conc_4491
Conc_2;Bocquet;CLFBocII, N°21;;F-PnVmb7 / 23 - F-PnVm7-370 / 24v - A-GÖ2 / 90v - F-PnThII / 45r - D-RpAN62 / 10v - F-AIXm17 / 97v - GB-Ob617 / 78 - PL-Pu7033 / 45;Contrepartie: Conc_4183
Conc_3;V.Gaultier;CLFVGa, N°51;;F-PnVmb7 / 24 - D-B40264 / 188 - F-PnVm7-370 / 21v - B-Bc5616 / 5r (last 14 bars) - B-Br276 / 24v - B-Br1037 / 13v - A-ETgoëssI / 16v - A-ETgoëssI / 123v - US-CAh174 / 78 (first part only) - A-KR79 / 199v - D-Bsa4060 / 51v - D-LEm6-24 / 140v - F-Pn823 / 96v - GB-Ob617 / 14 - F-Pn6211 / 4r - F-Pn6212 / 66v - F-PnVmd15 / 146v - Perrine1680 / 47 - D-RpAN62 / 40v - F-AIXm17 / 97v - GB-LANh / D2r - F-B279152 / 39 - F-B279153 / 18 - A-Wgm7763-92 / 30v - F-Pn89ter / 60v (Clavecin);Contrepartie: Conc_7
Conc_4;;;;F-AIXm17 / 98r (1) - CH-ZzQ907 / 8v;
Conc_5;Pinel or Bocquet;CLFBoc II, N°14 - CLFPin, N°47;;D-Kl_61.l(1) / 13v (fragm, baryton) - D-Kl_61.l(1) / 15r (1,lute) - D-Kl_61.l(1) / 15r (2,theorbo) - GB-LblSloane2923 / 101v - F-AIXm17 / 98v - GB-LANh / C6r - F-B279153 / 52 - GB-Mr / 20 - F-PnThII / 2r - D-SWl_640 / 42 (Angélique) - S-LuG34 / 8v - S-LuG34 / 50v (2) - S-SK493b / 34v (kb);
Conc_6;Pinel;CLFPin, N°65;;D-B40600 / 17v - D-ROu54 / 219 - F-AIXm17 / 98v - F-Pn1110 / 19v - D-SWl_641 / 71;
Conc_7;V.Gaultier;CLFVGa, N°65;;F-AIXm17 / 100r (1);Partie: Conc_3
Conc_8;V.Gaultier or D.Gaultier;CLFDGa, N°89 - CLFVGa, N°19 - CLFMou, N°7;;D-As / 52.05r - D-As / 56.35 - F-PnVmb7 / 26 - B-Br276 / 29r - B-Br276 / 114v - A-ETgoëssI / 15v - A-ETgoëssIII / 22v - A-GÖ2 / 82v - US-CAh174 / 22 - S-Klm21068 / 7v - PL-Kj40633 / 29v - A-KR78 / 37v - A-KR79 / 196v - D-Bsa4060 / 55v - D-LEm6-24 / 143v - D-LEm6-24 / 146v - F-Pn823 / 91v - MoutonI / 14 - GB-Ob576 / 22 - GB-Ob617 / 10 - F-PnVmf51 / 46v - F-Pn6212 / 65v - F-Pn6214 / 48v - F-PnVm7-675 / 87 (gt) - F-PnVm7-6265 / 85 - PL-Pu7033 / 44 - CZ-PnmE36 / 151 - CZ-NlobKk84 / 3v - F-AIXm17 / 100r - Rhetorique / 226 - D-ROu54 / 348 - F-B279152 / 37 - F-B279153 / 14 - Suittes faciles / 3 (fl, vl, bc) - A-Wn17706 / 3v - S-LuG34 / 28v - S-LuG34 / 46v - S-LuG34 / 47r - S-LuG37 / 15r - D-SWl_640 / 7 (Angélique) - S-Skma3 / 40v - S-Skma3 / 75r - S-Sr52S / 23v (gt) - S-SK468 / 12v (gt) - S-K4a / 16v (kb) - S-K4b / 5v (kb) - S-Sk2 / 30 (kb) - S-Sk176 / 10v (kb) - S-Sk228 / 47v (kb) - S-ÖS174 / 32v (kb);Contrepartie: Mouton: Conc_541or Bentle: Conc_542
Conc_9;Bocquet;CLFBoc II, N°11;;F-AIXm17 / 100v - A-Wn17706 / 10r - F-PnVmd15 / 102v - NL-At / 30v;
Conc_10;D.Gaultier;CLFDGa, N°106;;F-PnVm7-370 / 76v - D-LEm6-24 / 24r - GB-Ob618 / 110 - F-AIXm17 / 101r;
